place_id,place_name,url,sg_postal,postal_code,address,lat,lon,place_category,last_update_dt
pid_1,Adam Road Food Centre,,Singapore 289876,289876,"2, Adam Road, Singapore (289876)",,,,02:29.3
pid_2,Amoy Street Food Centre,,Singapore 69111,69111,"National Development Building, Annex B, Telok Ayer Street, Singapore (069111)",,,,02:29.3
pid_3,Bedok Food Centre,,Singapore 469572,469572,"1, Bedok Road, Singapore (469572)",,,,02:29.3
pid_4,Beo Crescent Market,,Singapore 169982,169982,"38A, Beo Crescent, Singapore (169982)",,,,02:29.3
pid_5,Berseh Food Centre,,Singapore 208877,208877,"166, Jalan Besar, Singapore (208877)",,,,02:29.3
pid_6,Bukit Timah Market,,Singapore 588215,588215,"51, Upper Bukit Timah Road, Singapore (588215)",,,,02:29.3
pid_7,Chomp Chomp Food Centre,,Singapore 557269,557269,"20, Kensington Park Road, Singapore (557269)",,,,02:29.3
pid_8,Commonwealth Crescent Market,,Singapore 149644,149644,"31, Commonwealth Crescent, Singapore (149644)",,,,02:29.3
pid_9,Dunman Food Centre,,Singapore 424768,424768,"271, Onan Road, Singapore (424768)",,,,02:29.3
pid_10,East Coast Lagoon Food Village,,Singapore 468960,468960,"1220, East Coast Parkway, Singapore (468960)",,,,02:29.3
pid_11,Geylang Serai Market,,Singapore 402001,402001,"Geylang Serai, Singapore (402001)",,,,02:29.3
pid_12,Golden Mile Food Centre,,Singapore 199583,199583,"505, Beach Road, Singapore (199583)",,,,02:29.3
pid_13,Holland Village Market & Food Centre,,Singapore 277700,277700,"1, Lorong Mambong, Singapore (277700)",,,,02:29.3
pid_14,Kallang Estate Market,,Singapore 397972,397972,"17, Old Airport Road, Singapore (397972)",,,,02:29.3
pid_15,Market Street Food Centre,,Singapore 489400,489400,"50, Market Street, Golden Shoe Multi-Storey Car Park, 2nd/3rd Storey, Singapore (048940)",,,,02:29.3
pid_16,Maxwell Food Centre,,Singapore 691840,691840,"1, Kadayanallur Street, Singapore (069184)",,,,02:29.3
pid_17,Newton Food Centre,,Singapore 229495,229495,"500, Clemenceau Ave North, Singapore (229495)",,,,02:29.3
pid_18,North Bridge Road Market & Food Centre,,Singapore 198783,198783,"861, North Bridge Road, Singapore (198783)",,,,02:29.3
pid_19,Pasir Panjang Food Centre,,Singapore 118543,118543,"121, Pasir Panjang Road, Singapore (118543)",,,,02:29.3
pid_20,Serangoon Garden Market,,Singapore 555945,555945,"49A, Serangoon Garden Way, Singapore (555945)",,,,02:29.4
pid_21,Sembawang Hill Food Centre,,Singapore 574419,574419,"590, Upper Thomson Road, Singapore (574419)",,,,02:29.4
pid_22,Taman Jurong Market & Food Centre,,Singapore 618499,618499,"3, Yung Sheng Road, Singapore (618499)",,,,02:29.4
pid_23,Tanglin Halt Market,,Singapore 148813,148813,"48A, Tanglin Halt Road, Singapore (148813)",,,,02:29.4
pid_24,Tiong Bahru Market,,Singapore 168898,168898,"30, Seng Poh Road, Singapore (168898)",,,,02:29.4
pid_25,Zion Riverside Food Centre,,Singapore 247792,247792,"70, Zion Road, Singapore (247792)",,,,02:29.4
pid_26,ABC Brickworks Market & Food Centre,,Singapore 150006,150006,"Blk 6, Jalan Bukit Merah, Singapore (150006)",,,,02:29.4
pid_27,Albert Centre Market & Food Centre,,Singapore 180270,180270,"Blk 270, Queen Street, Singapore (180270)",,,,02:29.4
pid_28,Alexandra Village Food Centre,,Singapore 150120,150120,"Blk 120, Bukit Merah Lane, Singapore (150120)",,,,02:29.4
pid_29,Blk 1 Jalan Kukoh,,Singapore 161001,161001,"Blk 1, Jalan Kukoh, Singapore (161001)",,,,02:29.4
pid_30,Blk 105 Hougang Ave 1,,Singapore 530105,530105,"Blk 105, Hougang Ave 1, Singapore (530105)",,,,02:29.4
pid_31,Blk 11 Telok Blangah Crescent,,Singapore 90011,90011,"Blk 11, Telok Blangah Crescent, Singapore (090011)",,,,02:29.4
pid_32,Blk 112 Jalan Bukit Merah,,Singapore 160112,160112,"Blk 112, Jalan Bukit Merah, Singapore (160112)",,,,02:29.4
pid_33,Blk 115 Bukit Merah View,,Singapore 151115,151115,"Blk 115, Bukit Merah View, Singapore (151115)",,,,02:29.4
pid_34,Blk 117 Aljunied Ave 2,,Singapore 380117,380117,"Blk 117, Aljunied Ave 2, Singapore (380117)",,,,02:29.4
pid_35,Blk 127 Toa Payoh Lorong 1,,Singapore 310127,310127,"Blk 127, Lorong 1 Toa Payoh, Singapore (310127)",,,,02:29.4
pid_36,Blk 137 Tampines Street 11,,Singapore 521137,521137,"Blk 137, Tampines Street 11, Singapore (521137)",,,,02:29.4
pid_37,Blk 159 Mei Chin Road,,Singapore 140159,140159,"Blk 159, Mei Chin Road, Singapore (140159)",,,,02:29.4
pid_38,Blk 16 Bedok South Road,,Singapore 460016,460016,"Blk 16, Bedok South Road, Singapore (460016)",,,,02:29.4
pid_39,Blk 163 Bukit Merah Central,,Singapore 150163,150163,"Blk 163, Bukit Merah Central, Singapore (150163)",,,,02:29.5
pid_40,Blk 17 Upper Boon Keng Road,,Singapore 380017,380017,"Blk 17, Upper Boon Keng Road, Singapore (380017)",,,,02:29.5
pid_41,Blk 20 Ghim Moh Road,,Singapore 270020,270020,"Blk 20, Ghim Moh Road, Singapore (270020)",,,,02:29.5
pid_42,Blk 208B New Upper Changi Road,,Singapore 462208,462208,"Blk 208B, New Upper Changi Road, Singapore (462208)",,,,02:29.5
pid_43,Blk 210 Toa Payoh Lorong 8,,Singapore 310210,310210,"Blk 210, Lorong 8 Toa Payoh, Singapore (310210)",,,,02:29.5
pid_44,Blk 216 Bedok North Street 1,,Singapore 460216,460216,"Blk 216, Bedok North Street 1, Singapore (460216)",,,,02:29.5
pid_45,Blk 22 Toa Payoh Lorong 7,,Singapore 310022,310022,"Blk 22, Lorong 7 Toa Payoh, Singapore (310022)",,,,02:29.5
pid_46,Blk 226D Ang Mo Kio Ave 1,,Singapore 564226,564226,"Blk 226D, Ang Mo Kio Ave 1, Singapore (564226)",,,,02:29.5
pid_47,Blk 226H Ang Mo Kio Street 22,,Singapore 568226,568226,"Blk 226H, Ang Mo Kio Street 22, Singapore (568226)",,,,02:29.5
pid_48,Blk 254 Jurong East Street 24,,Singapore 600254,600254,"Blk 254, Jurong East Street 24, Singapore (600254)",,,,02:29.5
pid_49,Blk 29 Bendemeer Road,,Singapore 330029,330029,"Blk 29, Bendemeer Road, Singapore (330029)",,,,02:29.5
pid_50,Blk 320 Shunfu Road,,Singapore 570320,570320,"Blk 320, Shunfu Road, Singapore (570320)",,,,02:29.5
pid_51,Blk 341 Ang Mo Kio Ave 1,,Singapore 560341,560341,"Blk 341, Ang Mo Kio Ave 1, Singapore (560341)",,,,02:29.5
pid_52,Blk 347 Jurong East Ave 1,,Singapore 600347,600347,"Blk 347, Jurong East Ave 1, Singapore (600347)",,,,02:29.5
pid_53,Blk 353 Clementi Ave 2,,Singapore 120353,120353,"Blk 353, Clementi Ave 2, Singapore (120353)",,,,02:29.5
pid_54,Blk 36 Telok Blangah Rise,,Singapore 90036,90036,"Blk 36, Telok Blangah Rise, Singapore (090036)",,,,02:29.5
pid_55,Blk 37A Teban Gardens Road,,Singapore 601037,601037,"Blk 37A, Teban Garden Road, Singapore (601037)",,,,02:29.5
pid_56,Blk 409 Ang Mo Kio Ave 10,,Singapore 560409,560409,"Blk 409, Ang Mo Kio Ave 10, Singapore (560409)",,,,02:29.5
pid_57,Blk 44 Holland Drive,,Singapore 270044,270044,"Blk 44, Holland Drive, Singapore (270044)",,,,02:29.5
pid_58,Blk 448 Clementi Ave 3,,Singapore 120448,120448,"Blk 448, Clementi Ave 3, Singapore (120448)",,,,02:29.5
pid_59,Blk 453A Ang Mo Kio Ave 10,,Singapore 561453,561453,"Blk 453A, Ang Mo Kio Ave 10, Singapore (561453)",,,,02:29.6
pid_60,Blk 49 Sims Place,,Singapore 380049,380049,"Blk 49, Sims Place, Singapore (380049)",,,,02:29.6
pid_61,Blk 4A Eunos Crescent,,Singapore 402004,402004,"Blk 4A, Eunos Crescent, Singapore (402004)",,,,02:29.6
pid_62,Blk 4A Jalan Batu,,Singapore 432004,432004,"Blk 4A, Jalan Batu, Singapore (432004)",,,,02:29.6
pid_63,Blk 4A Woodlands Centre Road,,Singapore 731004,731004,"Blk 4A, Woodlands Centre Road, Singapore (731004)",,,,02:29.6
pid_64,Blk 502 West  Coast Drive,,Singapore 120502,120502,"Blk 502, West Coast Drive, Singapore (120502)",,,,02:29.6
pid_65,Blk 503 West Coast Drive,,Singapore 120503,120503,"Blk 503, West Coast Drive, Singapore (120503)",,,,02:29.6
pid_66,Blk 505 Jurong West Street 52,,Singapore 640505,640505,"Blk 505, Jurong West Street 52, Singapore (640505)",,,,02:29.6
pid_67,Blk 50A Marine Terrace,,Singapore 441050,441050,"Blk 50A, Marine Terrace, Singapore (441050)",,,,02:29.6
pid_68,Blk 51 Old Airport Road,,Singapore 390051,390051,"Blk 51, Old Airport Road, Singapore (390051)",,,,02:29.6
pid_69,Blk 511 Bedok North Street 3,,Singapore 460511,460511,"Blk 511, Bedok North Street 3, Singapore (460511)",,,,02:29.6
pid_70,Blk 527 Ang Mo Kio Ave 10,,Singapore 560527,560527,"Blk 527, Ang Mo Kio Ave 10, Singapore (560527)",,,,02:29.6
pid_71,Blk 538 Bedok North Street 3,,Singapore 460538,460538,"Blk 538, Bedok North Street 3, Singapore (460538)",,,,02:29.6
pid_72,Blk 58 New Upper Changi Road,,Singapore 461058,461058,"Blk 58, New Upper Changi Road, Singapore (461058)",,,,02:29.6
pid_73,Blk 6 Tanjong Pagar Plaza,,Singapore 81006,81006,"Blk 6, Tanjong Pagar Plaza, Singapore (081006)",,,,02:29.6
pid_74,Blk 628 Ang Mo Kio Ave 4,,Singapore 560628,560628,"Blk 628, Ang Mo Kio Ave 4, Singapore (560628)",,,,02:29.6
pid_75,Blk 630 Bedok Reservoir Road,,Singapore 470630,470630,"Blk 630, Bedok Reservoir Road, Singapore (470630)",,,,02:29.6
pid_76,Blk 69 Geylang Bahru,,Singapore 330069,330069,"Blk 69, Geylang Bahru, Singapore (330069)",,,,02:29.6
pid_77,Blk 7 Empress Road,,Singapore 260007,260007,"Blk 7, Empress Road, Singapore (260007)",,,,02:29.6
pid_78,Blk 724 Ang Mo Kio Ave 6,,Singapore 560724,560724,"Blk 724, Ang Mo Kio Ave 6, Singapore (560724)",,,,02:29.7
pid_79,Blk 726 Clementi West Street 2,,Singapore 120726,120726,"Blk 726, Clementi West Street 2, Singapore (120726)",,,,02:29.7
pid_80,Blk 74 Toa Payoh Lorong 4,,Singapore 310074,310074,"Blk 74, Lorong 4 Toa Payoh, Singapore (310074)",,,,02:29.7
pid_81,Blk 75 Toa Payoh Lorong 5,,Singapore 310075,310075,"Blk 75, Lorong 5 Toa Payoh, Singapore (310075)",,,,02:29.7
pid_82,Blk 79 Redhill Lane,,Singapore 150079,150079,"Blk 79, Redhill Lane, Singapore (150079)",,,,02:29.7
pid_83,Blk 79 Telok Blangah Drive,,Singapore 100079,100079,"Blk 79, Telok Blangah Drive, Singapore (100079)",,,,02:29.7
pid_84,Blk 80 Circuit Road,,Singapore 370080,370080,"Blk 80, Circuit Road, Singapore (370080)",,,,02:29.7
pid_85,Blk 82 Telok Blangah Drive,,Singapore 100082,100082,"Blk 82, Telok Blangah Drive, Singapore (100082)",,,,02:29.7
pid_86,Blk 84 Marine Parade Central,,Singapore 440084,440084,"Blk 84, Marine Parade Central, Singapore (440084)",,,,02:29.7
pid_87,Blk 85 Bedok North Street 4,,Singapore 460085,460085,"Blk 85, Bedok North Street 4, Singapore (460085)",,,,02:29.7
pid_88,Blk 85 Redhill Lane,,Singapore 150085,150085,"Blk 85, Redhill Lane, Singapore (150085)",,,,02:29.7
pid_89,Blk 89 Circuit Road,,Singapore 370089,370089,"Blk 89, Circuit Road, Singapore (370089)",,,,02:29.7
pid_90,Blk 90 Whampoa Drive,,Singapore 320090,320090,"Blk 90, Whampoa Drive, Singapore (320090)",,,,02:29.7
pid_91,Blk 93 Toa Payoh Lorong 4,,Singapore 310093,310093,"Blk 93, Lorong 4 Toa Payoh, Singapore (310093)",,,,02:29.7
pid_92,Blks 13/14 Haig Road,,Singapore 430013/430014,430013/430014,"Blk 13/14, Haig Road, Singapore (430013/430014)",,,,02:29.7
pid_93,Blks 160/162 Ang Mo Kio Ave 4,,Singapore 560160/560162,560160/560162,"Blk 160/162, Ang Mo Kio Ave 4, Singapore (560160/560162)",,,,02:29.7
pid_94,Blks 1A/ 2A/ 3A Commonwealth Drive,,Singapore 141001/141002/141003,141001/141002/141003,"Blk 1A/ 2A/ 3A, Commonwealth Drive, Singapore (141001/141002/141003)",,,,02:29.7
pid_95,Blks 2 & 3 Changi Village Road,,Singapore 500002/500003,500002/500003,"Blk 2/3, Changi Village Road, Singapore (500002/500003)",,,,02:29.7
pid_96,Blks 20/21 Marsiling Lane,,Singapore 730020/730021,730020/730021,"Blk 20/21, Marsiling Lane, Singapore (730020/730021)",,,,02:29.7
pid_97,Blks 221 A/B Boon Lay Place,,Singapore 641221/642221,641221/642221,"Blk 221A/B, Boon Lay Place, Singapore (641221/642221)",,,,02:29.7
pid_98,Blks 22A/B Havelock Road,,Singapore 161022/162022,161022/162022,"Blk 22A/B, Havelock Road, Singapore (161022/162022)",,,,02:29.8
pid_99,Blks 79/79A Circuit Road,,Singapore 370079/371079,370079/371079,"Blk 79/79A, Circuit Road, Singapore (370079/371079)",,,,02:29.8
pid_100,Blks 91/92 Whampoa Drive,,Singapore 320091/320092,320091/320092,"Blk 91/92, Whampoa Drive, Singapore (320091/320092)",,,,02:29.8
pid_101,Chinatown Market,,Singapore 50335,50335,"Blk 335, Smith Street, Singapore (050335)",,,,02:29.8
pid_102,Chong Pang Market & Food Centre,,Singapore 760104/760105,760104/760105,"Blk 104/105, Yishun Ring Road, Singapore (760104/760105)",,,,02:29.8
pid_103,Hong Lim Market & Food Centre,,Singapore 51531,51531,"Blk 531A, Upper Cross Street, Singapore (051531)",,,,02:29.8
pid_104,Kovan Market & Food Centre,,Singapore 530209,530209,"Blk 209, Hougang Street 21, Singapore (530209)",,,,02:29.8
pid_105,Pek Kio Market & Food Centre,,Singapore 211041,211041,"Blk 41A, Cambridge Road, Singapore (211041)",,,,02:29.8
pid_106,People's Park Food Centre,,Singapore 50032,50032,"Blk 32, New Market Road, Singapore (050032)",,,,02:29.8
pid_107,Tekka Market,,Singapore 210665,210665,"Blk 665, Buffalo Road, Singapore (210665)",,,,02:29.8
pid_107,BENG TONG MANSION,,Singapore 437035,437035,247 TANJONG KATONG ROAD 437035,,,,02:29.8
pid_108,BENG TONG MANSION,,Singapore 437043,437043,255B TANJONG KATONG ROAD 437043,,,,02:29.8
pid_109,BENG TONG MANSION,,Singapore 437047,437047,259B TANJONG KATONG ROAD 437047,,,,02:29.8
pid_110,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0012,,Singapore 589829,589829,27B BINJAI PARK 589829,,,,02:29.8
pid_111,VALLEY MANSIONS,,Singapore 238637,238637,58A OXLEY ROAD 238637,,,,02:29.8
pid_112,SPRING COURT / SPRING MANSION,,Singapore 329367,329367,584/A/B/C BALESTIER ROAD 329367,,,,02:29.8
pid_113,GOLDHILL TOWERS,,Singapore 309021,309021,38 GOLDHILL AVENUE 309021,,,,02:29.8
pid_114,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0030,,Singapore 209306,209306,22/A/B FLANDERS SQUARE 209306,,,,02:29.9
pid_115,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0038,,Singapore 209297,209297,6/A/B FLANDERS SQUARE 209297,,,,02:29.9
pid_116,PEONY MANSION,,Singapore 189624,189624,46 BENCOOLEN STREET 189624,,,,02:29.9
pid_117,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0043,,Singapore 327720,327720,10 WHAMPOA DRIVE 327720,,,,02:29.9
pid_118,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0053,,Singapore 398888,398888,69B LORONG 16 GEYLANG 398888,,,,02:29.9
pid_119,ENG AUN MANSION,,Singapore 307658,307658,322/A/B/C THOMSON ROAD 307658,,,,02:29.9
pid_120,78 LORONG 25A GEYLANG,,Singapore 388259,388259,78 LORONG 25A GEYLANG 388259,,,,02:29.9
pid_121,DRAGON MANSION,,Singapore 88641,88641,14 SPOTTISWOODE PARK ROAD 088641,,,,02:29.9
pid_122,MOULMEIN RISE,,Singapore RISE,RISE,12C MOULMEIN RISE,,,,02:29.9
pid_123,UNITED MANSION,,Singapore 458998,458998,596C EAST COAST ROAD 458998,,,,02:29.9
pid_124,Management Corporation Strata Title No. 0073,,Singapore 438938,438938,2 GRAY LANE 438938,,,,02:29.9
pid_125,HONG THYE HOUSE,,Singapore 387867,387867,7E LORONG 39 GEYLANG 387867,,,,02:29.9
pid_126,BOTANIC GARDENS MANSION,,Singapore 257721,257721,10 TAMAN SERASI 257721,,,,02:29.9
pid_127,HOLLAND TOWER,,Singapore 249510,249510,10A HOLLAND HEIGHTS 249510,,,,02:29.9
pid_128,PEAKVILLE MANSION,,Singapore 488551,488551,20C JALAN PARI KIKIS 488551,,,,02:29.9
pid_129,27 BALMORAL PARK,,Singapore 259855,259855,27 BALMORAL PARK 259855,,,,02:29.9
pid_130,31 BALMORAL PARK,,Singapore 259858,259858,33L BALMORAL PARK 259858,,,,02:29.9
pid_131,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0084,,Singapore 289204,289204,77A HILLCREST ROAD 289204,,,,02:29.9
pid_132,98-98E UPPER EAST COAST,,Singapore 455237,455237,98E UPPER EAST COAST ROAD 455237,,,,02:29.9
pid_133,RAINBOW MANSION,,Singapore 249601,249601,4B ONE TREE HILL 249601,,,,02:30.0
pid_134,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0090,,Singapore 388542,388542,9A LORONG 17 GEYLANG 388542,,,,02:30.0
pid_135,CARPMAEL LODGE,,Singapore 429754,429754,6F CARPMAEL ROAD 429754,,,,02:30.0
pid_136,GOLDHILL CENTRE,,Singapore 307632,307632,169/A/B THOMSON ROAD 307632,,,,02:30.0
pid_137,TRADEHUB 21,,Singapore 609966,609966,18 BOON LAY WAY 609966,,,,02:30.0
pid_138,ST. REGIS RESIDENCES,,Singapore 247912,247912,31 TANGLIN ROAD 247912,,,,02:30.0
pid_139,ATRIUM RESIDENCES,,Singapore 398406,398406,1 LORONG 28 GEYLANG 398406,,,,02:30.0
pid_140,YEW TEE POINT,,Singapore 689578,689578,21 CHOA CHU KANG NORTH 6 689578,,,,02:30.0
pid_141,JURONG POINT 2,,Singapore 648886,648886,1 JURONG WEST CENTRAL 648886,,,,02:30.0
pid_142,ION ORCHARD,,Singapore 238801,238801,2 ORCHARD TURN 238801,,,,02:30.0
pid_143,MIDVIEW CITY,,Singapore 573960,573960,18 SIN MING LANE 573960,,,,02:30.0
pid_144,8 SINARAN DRIVE,,Singapore 307470,307470,8 SINARAN DRIVE 307470,,,,02:30.0
pid_145,SCOTTS SQUARE,,Singapore 228209,228209,6 SCOTTS ROAD 228209,,,,02:30.0
pid_146,ROCHESTER MALL,,Singapore 138637,138637,31 ROCHESTER DRIVE 138637,,,,02:30.0
pid_147,CT HUB,,Singapore 339407,339407,2 KALLANG AVENUE 339407,,,,02:30.0
pid_148,BEDOK MALL/ RESIDENCES,,Singapore 467360,467360,311 NEW UPPER CHANGI ROAD 467360,,,,02:30.0
pid_149,THE TENNERY/JUNCTION 10,,Singapore 677899,677899,#01-36 / 1 WOODLANDS ROAD 677899,,,,02:30.0
pid_150,CT HUB 2,,Singapore 338729,338729,114 LAVENDER STREET 338729,,,,02:30.0
pid_151,Westgate Tower,,Singapore 608531,608531,1 GATEWAY DRIVE 608531,,,,02:30.0
pid_152,GREENWICH V,,Singapore 807011,807011,1 SELETAR ROAD 807011,,,,02:30.1
pid_153,Junction Nine,,Singapore 768895,768895,18 #02-63 YISHUN AVENUE 9 768895,,,,02:30.1
pid_154,THE MIDTOWN COMMERCIAL,,Singapore 534785,534785,1187 UPPER SERANGOON ROAD 534785,,,,02:30.1
pid_155,KINEX / KATONG REGENCY,,Singapore 437157,437157,11 TANJONG KATONG ROAD 437157,,,,02:30.1
pid_156,UP@ROBERTSON QUAY,,Singapore 238260,238260,92 ROBERTSON QUAY 238260,,,,02:30.1
pid_157,NEWest,,Singapore 128020,128020,1 WEST COAST DRIVE 128020,,,,02:30.1
pid_158,SEAHILL,,Singapore 126777,126777,119 WEST COAST CRESCENT 126777,,,,02:30.1
pid_159,KAP,,Singapore 598332,598332,9 KING ALBERT PARK 598332,,,,02:30.1
pid_160,CAIRNHILL NINE,,Singapore 229723,229723,9 CAIRNHILL ROAD 229723,,,,02:30.1
pid_161,The Star Vista,,Singapore 138617,138617,1 VISTA EXCHANGE GREEN 138617,,,,02:30.1
pid_162,PS 100,,Singapore 79333,79333,PS100 PECK SEAH STREET 079333,,,,02:30.1
